trial,lag,accuracy
,,
1,5,0
2,5,0
3,1,1
4,5,1
5,1,0
6,5,0
1,1,1
2,5,0
3,5,1
4,5,0
5,1,1
6,1,0
1,5,0
2,1,0
3,1,1
4,5,1
5,1,0
6,1,1
1,1,0
2,5,1
3,1,1
4,5,1
5,5,1
6,1,1
1,1,0
2,1,1
3,5,0
4,1,1
5,1,1
6,5,1
1,5,0
2,5,0
3,5,1
4,1,1
5,1,1
6,5,1
1,5,1
2,5,0
3,1,0
4,1,0
5,5,0
6,1,1
1,5,1
2,1,1
3,1,1
4,5,1
5,5,1
6,5,1
1,5,0
2,1,1
3,1,1
4,5,0
5,5,0
6,1,1
1,1,0
2,5,0
3,5,1
4,5,1
5,1,1
6,1,1
1,1,0
2,1,1
3,5,0
4,5,1
5,5,1
6,5,1
1,5,0
2,1,0
3,5,0
4,1,1
5,5,0
6,1,1
1,5,0
2,1,1
3,5,1
4,5,1
5,1,1
6,5,1
1,5,0
2,1,1
3,5,0
4,5,0
5,5,0
6,1,1
